pmm_datetime,enodeb_name,ltecell_name,rrcconnlevsum,rrcconnlevsamp,day_part
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,32963.0,720.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,3309.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,9023.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,1751.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,8966.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,3290.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,14879.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,12275.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,35025.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,1543.0,720.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,0.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,1549.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,1762.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,34451.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,12816.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,16682.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,9532.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,3514.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,0.0,720.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,9153.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,837.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,37363.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,17094.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,10114.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,4588.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,12823.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,17610.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,2373.0,720.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,2281.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1022.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,4593.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3636.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,18305.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,24613.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,20510.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,34086.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,4828.0,720.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,11506.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,20917.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6049.0,720.0,2022-09-13
