pmm_datetime,enodeb_name,ltecell_name,pdcpvoldldrb,pdcpvoluldrb,pdcpvoldldrblasttti,day_part
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,55815.0,13285.0,9158.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,7540346.0,391824.0,4032968.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,1025353.0,32490.0,51087.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,5343195.0,919597.0,634077.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,4329.0,778.0,3891.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,5173628.0,1820799.0,1255053.0,2022-09-13
2022-09-13 04:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,5239624.0,572982.0,1185183.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,16472511.0,631385.0,1050220.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,2655174.0,127604.0,838479.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,294158.0,23349.0,68299.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,0.0,0.0,0.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,3148188.0,491492.0,478956.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,1093236.0,90462.0,220199.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,17004158.0,1927560.0,6984214.0,2022-09-13
