,datetime,timestamp,ltecell_name,users_avg,prb_dl_usage_rate_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,cell_throughput_ul_avg,user_throughput_dl_avg,user_throughput_ul_avg,traffic_volume_data,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,time_advance_avg,daytime,cluster
2564,2022-10-16 00:00:00.000,2022-10-16 00:00:00,CEIRA_MCO001N1L08,26.1125,58.06877055555555,5.996893888888889,100.0,100.0,14219.438196520236,774.2674005380268,9616.047040741614,1016.2565972310751,4324.145375,19547.72104316376,8.901871885600917,8.05444084533879,2.0,0,0
2565,2022-10-16 01:00:00.000,2022-10-16 01:00:00,CEIRA_MCO001N1L08,24.891666666666666,32.522734444444446,3.6331777777777776,94.73684210526316,100.0,12499.609911392288,842.0447237381254,12016.663816618722,1903.0466370301467,2387.203625,28378.63933197117,13.51134395792453,8.298864265476928,2.0,0,0
2566,2022-10-16 02:00:00.000,2022-10-16 02:00:00,CEIRA_MCO001N1L08,23.04583333333333,28.27058111111111,1.9034094444444445,100.0,100.0,15081.958515639011,903.2913717261406,15691.895577726274,2958.047233426733,2259.9655,37158.02290587747,8.114181820830282,8.409900634067839,2.0,0,0
2567,2022-10-16 03:00:00.000,2022-10-16 03:00:00,CEIRA_MCO001N1L08,19.08888888888889,13.755936111111112,1.2307788888888889,100.0,100.0,12130.93937860181,590.8063300678222,12421.576098445928,1076.259918339171,1024.6125,7942.526421741319,2.7694301786349684,9.143519596192249,2.0,0,0
2568,2022-10-16 04:00:00.000,2022-10-16 04:00:00,CEIRA_MCO001N1L08,18.15277777777778,12.677613333333332,3.197061111111111,90.0,100.0,9683.548865383706,793.5256017447798,9247.721015504072,1382.5322297351595,792.708625,29028.224225793805,0.9671963824895236,8.714643086548111,2.0,0,0
2569,2022-10-16 05:00:00.000,2022-10-16 05:00:00,CEIRA_MCO001N1L08,18.897222222222226,5.865259444444445,3.2882261111111117,100.0,100.0,13121.397274826926,711.2082564069916,21987.53285402384,914.9420601366096,558.887875,23506.194690265485,1.6151989684575974,8.749023647053775,2.0,0,0
2570,2022-10-16 06:00:00.000,2022-10-16 06:00:00,CEIRA_MCO001N1L08,17.84027777777778,6.911773888888889,2.217583888888889,100.0,100.0,11483.026534164508,508.0927259671101,16085.155679327976,747.0325672801016,567.353375,7351.820491109229,2.5477879158651247,8.951749680303337,2.0,0,0
2571,2022-10-16 07:00:00.000,2022-10-16 07:00:00,CEIRA_MCO001N1L08,19.872222222222224,15.696586111111111,4.580707777777778,100.0,100.0,16894.54161089406,1839.7341434431037,21294.6446985065,2330.354517836143,1710.226,32051.55764089694,5.172585816457255,8.829424382113798,2.0,0,0
2572,2022-10-16 08:00:00.000,2022-10-16 08:00:00,CEIRA_MCO001N1L08,23.12361111111111,33.69343555555555,5.802457777777778,100.0,100.0,14184.973569225029,776.3055721637922,11930.308983860474,853.8930507750107,2584.133375,10861.420194772494,14.826215213564764,8.591421228283489,2.0,1,0
2573,2022-10-16 09:00:00.000,2022-10-16 09:00:00,CEIRA_MCO001N1L08,26.468055555555555,39.97981388888889,6.7091433333333335,100.0,100.0,17983.178242243433,1127.4061487264091,10219.167786433143,1927.244930801416,3819.4225,22845.67613491121,5.5900528558455775,8.196815863979166,2.0,1,0
2574,2022-10-16 10:00:00.000,2022-10-16 10:00:00,CEIRA_MCO001N1L08,28.34027777777778,52.60991277777778,27.71939833333333,100.0,100.0,17894.783569847983,4027.238121673389,13622.544320974175,3636.894464664993,5142.224875,27485.787433139543,12.242743816464229,8.230582204044707,2.0,1,0
2575,2022-10-16 11:00:00.000,2022-10-16 11:00:00,CEIRA_MCO001N1L08,28.990277777777777,68.34982444444445,46.96344055555556,96.7741935483871,100.0,17320.846070255262,4601.224316255389,8096.110723481483,3502.1829056588435,6180.428625,31146.73310697887,5.516992398367152,8.036571917419113,2.0,1,0
2576,2022-10-16 12:00:00.000,2022-10-16 12:00:00,CEIRA_MCO001N1L08,29.65277777777778,91.42043111111111,17.956076111111113,98.82352941176472,100.0,18776.485335357927,1820.3229328358773,6983.457705523947,2421.1705402986704,8043.8205,26063.73316309956,5.965026693018805,8.10042190189141,2.0,1,0
2577,2022-10-16 13:00:00.000,2022-10-16 13:00:00,CEIRA_MCO001N1L08,31.113888888888887,81.538045,8.514190555555556,99.20634920634922,100.0,17490.461409744243,1013.6231302662546,7522.664108228675,1594.1058182738277,6846.400625,26402.494216668103,10.785560989082455,8.059822485961721,2.0,1,0
2578,2022-10-16 14:00:00.000,2022-10-16 14:00:00,CEIRA_MCO001N1L08,31.677777777777777,69.47844333333333,11.70746,96.15384615384616,100.0,14095.815871698023,1184.0590222083756,7883.758704914754,1496.7166729225764,5076.393125,25775.06520177496,17.4922356852921,8.020614394973212,2.0,1,0
2579,2022-10-16 15:00:00.000,2022-10-16 15:00:00,CEIRA_MCO001N1L08,33.45,58.39222166666666,6.740824444444445,97.2972972972973,100.0,12111.645046029931,1067.6004257576892,7773.68976452478,1734.9730182732148,3993.914875,18195.99554213921,18.881810143778534,7.965562058005426,2.0,1,0
2580,2022-10-16 16:00:00.000,2022-10-16 16:00:00,CEIRA_MCO001N1L08,33.38611111111111,82.12720055555556,9.223382222222222,98.0,100.0,13142.82436387081,1333.9418204076392,6026.688610673306,1614.8537531131662,5384.2225,17032.198799402562,16.06348825081677,7.90025890822879,2.0,1,0
