,Cell,Features,Clusters,users_avg,prb_dl_usage_rate_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,cell_throughput_ul_avg,user_throughput_dl_avg,user_throughput_ul_avg,traffic_volume_data,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,time_advance_avg,hour,daytime
0,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg",0.0,24.066904365561406,31.320371564639117,6.488270323351329,98.61328115088315,97.61212580516236,12232.761931523492,1284.3007602184496,11390.818047999543,1970.3119073765936,2420.643616568915,21912.29738727458,13.712167449591975,8.937590728481835,2.0,3.092375366568915,0.0
1,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg",3.0,24.43431466742597,26.402711375294604,6.090556485092258,98.5115349610448,98.51834706627639,18502.260143309864,1283.2931865640644,21587.664399682402,2170.342488730542,3156.0930852689485,28316.67126793229,25.772523761386495,8.766872376313358,2.0,5.136919315403423,0.12224938875305623
2,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg",1.0,32.43226372924649,38.67263754175315,8.481982125470854,98.65079506680509,97.74366138091482,13583.62908391315,1201.339554270715,12185.123598265116,1605.7255730632428,3136.0909496305417,21525.788548900935,28.71055911708076,8.429930828454145,2.0,13.082758620689654,1.0
3,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg",2.0,34.947066408768535,72.65580541473764,14.682465749743509,98.6068315585192,98.52878589818353,13916.298294200877,1517.0809262120044,6116.47021110251,1710.4758681891317,5144.437603239846,14758.02291986346,15.573355689288231,8.21553721099472,2.0,18.117021276595743,1.0
4,,,,30.401680836987886,46.66816314117756,9.779273696024218,98.61003069053685,98.0745397036873,14040.447131302011,1334.0068016119978,11238.924617428303,1792.951051938975,3644.6502592356687,20265.66128757288,20.74418079795854,8.513481829868242,2.0,11.535668789808918,0.6684713375796179
