,Cell,Features,Clusters,users_avg,prb_dl_usage_rate_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,cell_throughput_ul_avg,user_throughput_dl_avg,user_throughput_ul_avg,traffic_volume_data,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,time_advance_avg,hour,day,daytime,workday,sector,freq,hour_sin,hour_cos,day_sin,day_cos,cluster
0,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",4.0,23.670825906120022,35.072572112491805,7.806949474578417,98.09072759748432,98.34254582706595,11671.544848396185,1420.6545618636674,10582.258956175872,1904.1912355801558,2499.693148395722,21245.610153930502,12.24502987208401,8.9591635604944,5018.371587215148,2.7540106951871657,5.502673796791444,0.0,0.0,1.0,8.0,0.5492700416259028,0.6391558317150232,-0.8778633967107189,0.2027464947421587,4.0
1,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",6.0,22.716784591194973,23.22051159329141,4.738256462264151,95.49970851985289,99.76415094339623,16346.752419631155,1408.0798036087956,19809.56568184357,2458.3546614776888,2496.575071933962,26383.355344616433,18.17509663597008,8.853726914882904,4838.350682896084,4.80188679245283,5.528301886792453,0.0,0.0,1.0,8.0,0.8454278983159325,0.26923907916908685,-0.8729147040311404,0.2244281340214466,6.0
2,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",8.0,28.075653594771246,33.89080257703081,8.91301777310924,98.51190501409519,98.59065214712768,14458.744250301575,1223.0052509628003,13818.443113446614,1663.2420927012583,2940.0658844537816,22930.21649271782,25.870495134548037,8.53402539499931,4796.763931058804,11.218487394957982,5.5210084033613445,1.0,0.0,1.0,8.0,0.22611774765596757,-0.7025248504421737,-0.8743230496418644,0.21825776873723982,8.0
3,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",2.0,33.585551820397896,67.8154948147083,14.816849392257547,98.52690389253844,98.20128333213378,14336.456520212998,1482.8290395222934,7172.445795120896,1611.0045043423488,5037.833830944798,15939.125147321542,17.406739587940148,8.265594403451027,4636.342504333682,16.56900212314225,5.509554140127388,1.0,0.0,1.0,8.0,-0.4664602819594096,-0.1403471512932185,-0.876534826977343,0.20856733907046143,2.0
4,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",9.0,23.417290886392014,38.31478274032459,6.341075961298377,99.28331507734782,98.06046013911183,9736.050432887876,1166.9183841080612,6777.251490241284,1949.4742881273053,2542.5438721910114,16767.296929559107,9.621399267332615,9.14402810214944,5195.529903667218,2.5168539325842696,1.7191011235955056,0.0,1.0,1.0,8.0,0.4936715533627569,0.6484578914129528,0.331995867050444,0.09520657748689422,9.0
5,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",10.0,24.75254505372808,24.89568165220413,5.9698004857655596,99.7020307831727,98.76298999900148,16683.75044499757,1297.1984933946342,18802.726759675254,2100.786913779906,2586.586507317073,26625.793343950118,19.04428071629023,8.764036899436842,4595.357279101595,4.160975609756098,2.0195121951219512,0.0,1.0,1.0,8.0,0.7456611751849267,0.38580865321065166,0.3728070347613479,-0.10368407247555127,10.0
6,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",3.0,24.4404082314503,28.8642052084281,5.850362930676256,98.60841923941628,97.02304644411416,12941.670333494467,1204.9018086239778,12330.597402492594,1977.636380215874,2401.2241162952646,23024.13960441257,15.011676636085813,8.9073390063797,4940.610069668334,3.3064066852367686,2.0389972144846795,0.0,1.0,1.0,8.0,0.6183694183548634,0.5313666761129608,0.3338850229048561,-0.09570568491697896,3.0
7,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",5.0,32.044219523166895,26.791588775554562,5.810090181390042,98.88224363425171,97.90636174668931,14478.195297261584,1068.50119976677,16601.63327908968,1601.0437096294938,2566.080418016194,24945.010533439356,38.89165681571698,8.504312390817393,4603.93754453196,11.793522267206479,1.8016194331983806,1.0,1.0,1.0,8.0,0.10454976525935998,-0.7271423027145499,0.38326062433255975,0.022715326753348128,5.0
8,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",0.0,33.43313083067985,43.08302276353276,8.650967071671973,98.58934764392276,97.77153222527703,13136.071891267055,1208.2779857566181,10724.913161679875,1605.857538614827,3306.820333144796,20252.747026614816,26.67682419209605,8.368003627246251,4599.048805042946,14.034690799396682,2.0754147812971344,1.0,1.0,1.0,8.0,-0.2237030486374798,-0.5067706840433975,0.346761841493652,-0.11138858174234696,0.0
9,CEIRA_MCO001N1L08,"daytime, user_throughput_dl_avg, workday",7.0,35.56821143534107,74.59614059203142,14.84614997162988,98.70015468846812,98.50485086249974,13733.228288171591,1561.2142810015223,5724.895790342328,1782.8392991837563,5177.740785774411,14391.986684284633,14.910479329803003,8.210120508014281,4670.907980804028,18.81313131313131,1.9427609427609427,1.0,1.0,1.0,8.0,-0.645297944898042,0.24062361094481532,0.3444475310891822,-0.047965121875214956,7.0
